Project,Package,Method,SLOC,Complexity,ModifyingCommits,Contributors,MaxExperienced,MinExperienced,MeanExperience,MedianExperience,StdevExperience
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::MockReadable::read,3,1,3,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testGetSetNewLineText,10,1,6,4,0.14849168858305223,0.011240118441665507,0.06679637439581486,0.053726845279270845,0.0626944914690113
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testGetSetNullText,12,1,6,4,0.14849168858305223,0.011240118441665507,0.06679637439581486,0.053726845279270845,0.0626944914690113
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testCapacityAndLength,68,1,6,3,0.14849168858305223,0.024661826242437065,0.0853151263805313,0.08279186431610462,0.061953481261413035
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testLength,6,1,4,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testSetLength,14,1,6,3,0.14849168858305223,0.024661826242437065,0.0853151263805313,0.08279186431610462,0.061953481261413035
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testCapacity,6,1,5,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testEnsureCapacity,10,1,5,4,0.14849168858305223,0.020239448616992936,0.0742118597336707,0.06405815086731881,0.0557931112303565
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testMinimizeCapacity,8,1,5,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testSize,6,1,6,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testIsEmpty,8,1,7,4,0.14849168858305223,0.020239448616992936,0.0742118597336707,0.06405815086731881,0.0557931112303565
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testClear,7,1,7,3,0.14849168858305223,0.020239448616992936,0.08384100050538326,0.08279186431610462,0.06413255631218558
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testCharAt,15,1,5,3,0.14849168858305223,0.024661826242437065,0.0853151263805313,0.08279186431610462,0.061953481261413035
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testSetCharAt,20,1,6,4,0.14849168858305223,0.011240118441665507,0.06679637439581486,0.053726845279270845,0.0626944914690113
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testDeleteCharAt,6,1,6,4,0.14849168858305223,0.024661826242437065,0.07531745414003173,0.06405815086731881,0.05439334850131948
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testToCharArray,11,1,8,3,0.14849168858305223,0.024661826242437065,0.0853151263805313,0.08279186431610462,0.061953481261413035
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testToCharArrayIntInt,20,1,11,5,0.14849168858305223,0.011240118441665507,0.05956045907656282,0.03061679779955469,0.05665458320343887
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testGetChars,21,1,8,5,0.14849168858305223,0.011240118441665507,0.06250198700035849,0.04532443741853299,0.05513763017150555
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testGetCharsIntIntCharArrayInt,14,1,12,6,0.14849168858305223,0.011240118441665507,0.07157421953366609,0.06405815086731881,0.05409213461839166
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testDeleteIntInt,14,1,8,5,0.14849168858305223,0.024661826242437065,0.0836410397520662,0.08279186431610462,0.05064965605109113
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testDeleteAll_char,14,1,3,2,0.14849168858305223,0.08279186431610462,0.11564177644957843,0.11564177644957843,0.04645679126192315
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testDeleteFirst_char,14,1,5,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
